Array Size,Thread Count,Time (ms),Speedup,Efficiency (%),F Amdahl
1000000,1,125.268,1,100,0
1000000,2,114.612,1.09298,54.649,0.170139
1000000,4,49.7945,2.5157,62.8924,0.803328
1000000,8,33.0815,3.78665,47.3332,0.841045
