Array Size,Thread Count,Time (ms),Speedup,Efficiency (%),F Amdahl
10000000,1,1532.46,0.988705,98.8705,0
10000000,2,1553.31,0.975434,48.7717,-0.0503703
10000000,3,1515.29,0.999909,33.3303,-0.000136826
10000000,4,902.411,1.679,41.975,0.539209
10000000,5,895.502,1.69195,33.8391,0.511209
10000000,6,892.972,1.69675,28.2791,0.492764
10000000,7,833.438,1.81795,25.9707,0.524918
10000000,8,845.168,1.79272,22.409,0.505357
