Array Size,Thread Count,Time (ms),Speedup,Efficiency (%),F Amdahl
10000000,1,30292.7,0.996491,99.6491,0
10000000,2,15605,1.93441,96.7204,0.966092
10000000,3,10911.5,2.76647,92.2156,0.957792
10000000,4,8257.66,3.65557,91.3892,0.968593
10000000,5,7741.54,3.89928,77.9856,0.929428
10000000,6,7238.18,4.17045,69.5074,0.912261
10000000,7,6882.36,4.38606,62.658,0.900672
10000000,8,6245.51,4.8333,60.4163,0.906402
